               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.035741,            0.022739,           0.0061707,                0.75,             0.59013,             0.64727,             0.39096,            0.031954,            0.015642,           0.0062935,           0.0052975,           0.0052975,           0.0052975
                  97,            0.035672,            0.022699,           0.0061226,             0.74515,             0.59854,             0.64835,             0.39317,            0.031916,            0.015611,           0.0061719,            0.005248,            0.005248,            0.005248
                  98,            0.035664,            0.022743,           0.0062125,             0.73977,             0.59865,             0.65023,             0.39146,            0.031994,            0.015667,           0.0061924,           0.0051985,           0.0051985,           0.0051985
                  99,            0.035464,            0.022497,           0.0060072,             0.75023,             0.59393,              0.6497,             0.39312,            0.031829,            0.015594,           0.0062737,            0.005149,            0.005149,            0.005149
                 100,            0.035438,            0.022366,           0.0061989,             0.75018,             0.59662,             0.65328,             0.39635,            0.031766,            0.015572,           0.0062548,           0.0050995,           0.0050995,           0.0050995
                 101,            0.035827,            0.022585,           0.0060228,             0.74753,             0.59271,             0.65073,             0.39521,            0.031721,            0.015596,           0.0062185,             0.00505,             0.00505,             0.00505
                 102,            0.035684,             0.02261,           0.0060486,             0.75117,             0.59093,             0.65253,             0.39636,            0.031711,             0.01561,           0.0062411,           0.0050005,           0.0050005,           0.0050005
                 103,            0.035545,            0.022292,            0.005996,             0.74209,             0.60075,             0.65342,             0.39672,            0.031648,            0.015574,           0.0062463,            0.004951,            0.004951,            0.004951
                 104,            0.035236,            0.022468,           0.0058515,             0.74899,             0.59582,             0.65523,              0.3979,             0.03164,            0.015541,           0.0061656,           0.0049015,           0.0049015,           0.0049015
                 105,            0.035084,            0.022186,           0.0059502,             0.74999,             0.59273,             0.65495,             0.39801,            0.031633,            0.015541,           0.0061507,            0.004852,            0.004852,            0.004852
                 106,            0.035169,             0.02226,           0.0059273,             0.75008,             0.59386,             0.65574,             0.39844,            0.031612,            0.015519,           0.0061205,           0.0048025,           0.0048025,           0.0048025
                 107,            0.035057,            0.022049,           0.0060041,             0.75584,             0.59719,             0.65902,             0.40024,            0.031528,             0.01548,           0.0060403,            0.004753,            0.004753,            0.004753
                 108,            0.035279,            0.022323,           0.0060105,             0.76435,             0.59753,             0.65844,              0.4023,            0.031519,            0.015457,           0.0060126,           0.0047035,           0.0047035,           0.0047035
                 109,            0.034951,            0.022478,           0.0056873,             0.75738,             0.60464,             0.65893,             0.40091,            0.031511,            0.015463,           0.0060073,            0.004654,            0.004654,            0.004654
                 110,            0.034973,            0.021804,           0.0057974,             0.75146,             0.60459,             0.65813,             0.40163,            0.031457,            0.015456,            0.005978,           0.0046045,           0.0046045,           0.0046045
                 111,            0.034887,            0.022128,           0.0057468,             0.75243,             0.60469,             0.66013,             0.40236,            0.031351,             0.01546,           0.0060101,            0.004555,            0.004555,            0.004555
                 112,            0.034929,            0.021961,           0.0057851,             0.75076,             0.60199,              0.6604,             0.40142,            0.031343,            0.015448,           0.0060117,           0.0045055,           0.0045055,           0.0045055
                 113,            0.034828,             0.02204,            0.005537,             0.76035,             0.59945,             0.66178,             0.40168,             0.03131,            0.015424,           0.0060653,            0.004456,            0.004456,            0.004456
                 114,            0.034748,            0.022611,           0.0056088,             0.77448,              0.6031,             0.66329,             0.40358,             0.03134,            0.015399,           0.0059758,           0.0044065,           0.0044065,           0.0044065
                 115,            0.034572,            0.022025,           0.0058022,              0.7627,             0.60551,             0.66493,             0.40523,              0.0313,            0.015395,           0.0059299,            0.004357,            0.004357,            0.004357
                 116,            0.034707,            0.021934,           0.0057377,             0.75685,             0.60661,             0.66153,             0.40539,            0.031255,             0.01539,           0.0059519,           0.0043075,           0.0043075,           0.0043075
                 117,            0.034562,            0.021941,           0.0056411,             0.75539,             0.60546,             0.66262,             0.40518,            0.031209,            0.015391,           0.0060118,            0.004258,            0.004258,            0.004258
                 118,            0.034677,            0.022116,           0.0057371,             0.75349,             0.60684,             0.66272,             0.40636,            0.031171,            0.015374,           0.0059709,           0.0042085,           0.0042085,           0.0042085
                 119,            0.034753,            0.022007,           0.0057159,               0.763,             0.60323,             0.66282,             0.40585,            0.031202,            0.015396,           0.0059866,            0.004159,            0.004159,            0.004159
                 120,            0.034397,            0.022004,           0.0056123,             0.76542,             0.60619,             0.66539,             0.40537,             0.03118,            0.015387,           0.0059245,           0.0041095,           0.0041095,           0.0041095
                 121,            0.034474,            0.022127,            0.005604,             0.77052,             0.60965,             0.66781,             0.40778,            0.031136,            0.015359,           0.0059206,             0.00406,             0.00406,             0.00406
                 122,            0.034479,            0.021799,           0.0056052,             0.77253,             0.60639,             0.66789,             0.40845,            0.031093,            0.015342,           0.0059315,           0.0040105,           0.0040105,           0.0040105
                 123,            0.034217,             0.02184,           0.0054658,             0.77141,             0.60708,             0.66842,             0.40856,            0.031062,            0.015316,           0.0059657,            0.003961,            0.003961,            0.003961
                 124,            0.034086,            0.021625,           0.0054281,             0.77078,             0.61072,             0.67087,             0.40927,            0.031064,            0.015307,           0.0059562,           0.0039115,           0.0039115,           0.0039115
                 125,            0.034009,            0.021917,           0.0055178,             0.77629,             0.60907,             0.67164,             0.41066,            0.031034,            0.015307,           0.0059306,            0.003862,            0.003862,            0.003862
                 126,            0.034148,            0.021538,            0.005462,             0.76315,             0.61264,             0.67125,             0.41092,            0.031002,            0.015289,           0.0059119,           0.0038125,           0.0038125,           0.0038125
                 127,            0.034199,            0.021662,           0.0054735,             0.77441,             0.60792,             0.67121,             0.41104,            0.030991,            0.015271,           0.0059057,            0.003763,            0.003763,            0.003763
